variant,n_runs,n_ok,rms_cte_m_mean,rms_cte_m_std,speed_ratio_mean,speed_ratio_std,mean_speed_mps_mean,mean_speed_mps_std,mean_solve_ms_mean,mean_solve_ms_std
pacejka_static,405,405,0.7815932328120652,0.8264413642921581,0.6739844275195462,0.19665693505479317,4.475751707912224,0.9088007805826762,4.3537264146127095,1.0472170422160054
tmeasy_static,405,405,0.6574808295711286,0.7705668071958452,0.670125840465517,0.18598752652548994,4.445263035248173,0.7861810210555962,4.593500604444981,1.3331250426108407
nn_static,405,405,0.27264876475170785,0.3257117142956547,0.6760713055878694,0.19164126123568573,4.486626078305785,0.860790712291316,13.118984245720098,0.8038836213013587
nn_estimator,405,405,0.3857939198342148,0.5497210160108684,0.6696991911355844,0.19530170784916606,4.435559434705537,0.8893273485753042,13.157525322190994,0.8096161764322327
nn_wrong_prior,405,405,0.6417551209010791,1.0099960299911301,0.7016091087485342,0.20293317165911268,4.668022583669842,1.0000779036712077,13.089936400352059,0.8400129820978908
