variant,n_runs,n_ok,rms_cte_m_mean,rms_cte_m_std,speed_ratio_mean,speed_ratio_std,mean_speed_mps_mean,mean_speed_mps_std,p95_speed_mps_mean,p95_speed_mps_std,mean_solve_ms_mean,mean_solve_ms_std
dob_on,405,404,0.0869448365767654,0.040320703467794206,0.6387808239579399,0.16302267789040134,4.259687623492137,0.7146191808899467,5.466488665835412,1.32063415169116,12.84939987658502,0.9264363146238724
dob_off,405,405,0.08474074389668818,0.03375801516444328,0.6080475538657115,0.16340960798408702,4.064285813853741,0.807343627819886,5.295360609452737,1.311696581004024,13.116600080562007,0.6780142673061453
