idx,n_true,Kphi,Kc,cohesion,friction_angle,janosi_shear,estimator,converged_n,pct_err
5,1.0618260528230925,668249.4895646033,19345.946357338762,11070.609710677863,27.123871627807016,0.021482806094690984,Bekker-UKF,0.49636852789017727,53.25331050500456
5,1.0618260528230925,668249.4895646033,19345.946357338762,11070.609710677863,27.123871627807016,0.021482806094690984,NN-UKF,1.2848806609483678,21.006699499624894
5,1.0618260528230925,668249.4895646033,19345.946357338762,11070.609710677863,27.123871627807016,0.021482806094690984,Learned MLP,1.299999999999964,22.43059930048194
4,0.9498347125904214,2913502.4575272375,11867.318909022524,2273.3916335551094,34.58680320881883,0.011740558904705035,Bekker-UKF,0.646998859203976,31.883005471608964
4,0.9498347125904214,2913502.4575272375,11867.318909022524,2273.3916335551094,34.58680320881883,0.011740558904705035,NN-UKF,1.2654195500603653,33.225237326741855
4,0.9498347125904214,2913502.4575272375,11867.318909022524,2273.3916335551094,34.58680320881883,0.011740558904705035,Learned MLP,0.5737613412807536,39.593559418778
2,0.6308489599400158,1410928.7589389351,1039.7675301373297,15195.260766860943,13.081969788303743,0.012488389852581386,Bekker-UKF,0.653335715228872,3.564522844104299
2,0.6308489599400158,1410928.7589389351,1039.7675301373297,15195.260766860943,13.081969788303743,0.012488389852581386,NN-UKF,0.5173294474411814,17.99472135289379
2,0.6308489599400158,1410928.7589389351,1039.7675301373297,15195.260766860943,13.081969788303743,0.012488389852581386,Learned MLP,0.6272906959321526,0.5640437305629425
1,0.9977972963771675,3471226.2848696695,6417.387766525882,655.974342497333,27.709009071357226,0.016075803293215507,Bekker-UKF,0.8180823366071763,18.011169244745968
1,0.9977972963771675,3471226.2848696695,6417.387766525882,655.974342497333,27.709009071357226,0.016075803293215507,NN-UKF,0.9066574489084582,9.134104471882475
1,0.9977972963771675,3471226.2848696695,6417.387766525882,655.974342497333,27.709009071357226,0.016075803293215507,Learned MLP,0.5994829006007764,39.919370118821035
3,0.6502523732664953,1088330.0659837238,5001.299751935611,16027.97694869514,12.80207674920702,0.02052332192497177,Bekker-UKF,0.6711344162963163,3.2113751349989816
3,0.6502523732664953,1088330.0659837238,5001.299751935611,16027.97694869514,12.80207674920702,0.02052332192497177,NN-UKF,0.5331422632711565,18.00994733891469
3,0.6502523732664953,1088330.0659837238,5001.299751935611,16027.97694869514,12.80207674920702,0.02052332192497177,Learned MLP,0.6198017403882773,4.682894539123556
0,1.050475263865322,2727379.937946026,4205.002151044533,5105.7537529988385,14.836021051198856,0.018201504923113437,Bekker-UKF,1.0989498812652307,4.614541538231159
0,1.050475263865322,2727379.937946026,4205.002151044533,5105.7537529988385,14.836021051198856,0.018201504923113437,NN-UKF,0.9915155262285721,5.612672631605063
0,1.050475263865322,2727379.937946026,4205.002151044533,5105.7537529988385,14.836021051198856,0.018201504923113437,Learned MLP,0.9123378577712545,13.149991327332929
6,0.596755362102797,1964029.163248855,1323.7039504728493,16204.259105123983,21.185708843674053,0.01480687365754835,Bekker-UKF,0.5870526675740482,1.6259082272104408
6,0.596755362102797,1964029.163248855,1323.7039504728493,16204.259105123983,21.185708843674053,0.01480687365754835,NN-UKF,0.49894521659667573,16.390325369086924
6,0.596755362102797,1964029.163248855,1323.7039504728493,16204.259105123983,21.185708843674053,0.01480687365754835,Learned MLP,0.6585959699125155,10.362807230053141
7,0.7337181277923127,2257976.439647804,9257.877592720422,17338.174572715387,15.905913317845767,0.011391696040466514,Bekker-UKF,0.6895943868705192,6.013718245528102
7,0.7337181277923127,2257976.439647804,9257.877592720422,17338.174572715387,15.905913317845767,0.011391696040466514,NN-UKF,0.7054797675519795,3.8486660163760336
7,0.7337181277923127,2257976.439647804,9257.877592720422,17338.174572715387,15.905913317845767,0.011391696040466514,Learned MLP,0.6265723404284672,14.603126637505449
8,1.177331628704052,1397248.955549254,17672.966435794016,11719.506159669683,25.816431277795175,0.015540498188156875,Bekker-UKF,0.6294826054792683,46.53311011680105
8,1.177331628704052,1397248.955549254,17672.966435794016,11719.506159669683,25.816431277795175,0.015540498188156875,NN-UKF,1.3636551270034438,15.825914615450142
8,1.177331628704052,1397248.955549254,17672.966435794016,11719.506159669683,25.816431277795175,0.015540498188156875,Learned MLP,1.2141398789827589,3.126413100718572
10,0.7920125476939719,3649633.317272281,2327.9999519708185,18431.265157323473,29.179470152987964,0.016416399986731937,Bekker-UKF,0.7246443235397998,8.505954148115682
