path,terrain,speed,cte_baseline,speed_baseline,cte_terrain,speed_terrain,cte_baseline_sd,cte_terrain_sd
double_lane_change,clay,5.0,0.07513992816283385,3.774000605870852,0.07589606775058816,3.530047056345097,0.0039843867357013405,0.00536032822902443
double_lane_change,clay,7.0,0.07781065440775001,3.9553306451612897,0.07463044023469981,3.860521525235077,0.0025673157182266705,0.00483143832068498
double_lane_change,dirt,5.0,0.05504645060121665,4.735463517850183,0.0558954368599278,4.286999624906226,0.0020222818001899433,0.0010674607016687187
double_lane_change,dirt,7.0,0.0675375292597616,5.3695328269285785,0.05365301657073835,4.837963285222104,0.00415840978196002,0.004816409936844123
double_lane_change,sand,5.0,0.05112467709143955,4.198821037935526,0.05456249940752485,4.101543058583106,0.00834352485688323,0.00038205076250171047
double_lane_change,sand,7.0,0.05507906396305595,4.258816393595234,0.0643155922347178,4.110882313663575,0.004876799041683205,0.004630529162818326
sinusoidal,clay,5.0,0.10733737667308929,3.7768770988483418,0.0878485936641128,3.321809845801856,0.05159089983626821,0.0012529660895678248
sinusoidal,clay,7.0,0.30403759474515496,3.7703315471698113,0.08961597137137985,3.290449256161292,0.145468380461785,0.008586876058026077
sinusoidal,dirt,5.0,0.0799815514804495,4.611066766691673,0.13017813774059334,4.5350631804238475,,0.050914599504098025
sinusoidal,dirt,7.0,0.6177359650113808,5.899056145251397,0.25966608453026957,5.085451614126614,,0.08461880191069125
sinusoidal,sand,5.0,0.0590377935918864,3.915118826413647,0.056055082228331,3.77543176941262,0.0016178665318978052,0.005650047105693359
sinusoidal,sand,7.0,0.08362301308493145,3.86169558137306,0.045444451513006245,3.776780757689423,0.002347909917533599,0.000778964468450685
