idx,n_true,Kphi,Kc,cohesion,friction_angle,janosi_shear,estimator,converged_n,pct_err
5,1.0618260528230925,668249.4895646033,19345.946357338762,11070.609710677863,27.123871627807016,0.021482806094690984,Bekker-UKF,0.4952381612880356,53.35976547464261
5,1.0618260528230925,668249.4895646033,19345.946357338762,11070.609710677863,27.123871627807016,0.021482806094690984,NN-UKF,1.3241471861042091,24.70471812060738
5,1.0618260528230925,668249.4895646033,19345.946357338762,11070.609710677863,27.123871627807016,0.021482806094690984,Learned MLP,1.299999999999964,22.43059930048194
3,0.6502523732664953,1088330.0659837238,5001.299751935611,16027.97694869514,12.80207674920702,0.02052332192497177,Bekker-UKF,0.6661240884386537,2.440854631937435
3,0.6502523732664953,1088330.0659837238,5001.299751935611,16027.97694869514,12.80207674920702,0.02052332192497177,NN-UKF,0.5771954492553594,11.235164532216903
3,0.6502523732664953,1088330.0659837238,5001.299751935611,16027.97694869514,12.80207674920702,0.02052332192497177,Learned MLP,0.8227175478550312,26.52280586415542
2,0.6308489599400158,1410928.7589389351,1039.7675301373297,15195.260766860943,13.081969788303743,0.012488389852581386,Bekker-UKF,0.8697266130501841,37.86606117776305
2,0.6308489599400158,1410928.7589389351,1039.7675301373297,15195.260766860943,13.081969788303743,0.012488389852581386,NN-UKF,0.4908860851026384,22.1864318918249
2,0.6308489599400158,1410928.7589389351,1039.7675301373297,15195.260766860943,13.081969788303743,0.012488389852581386,Learned MLP,0.5040648459188112,20.097380208609657
0,1.050475263865322,2727379.937946026,4205.002151044533,5105.7537529988385,14.836021051198856,0.018201504923113437,Bekker-UKF,1.1138100050307698,6.0291511227405366
0,1.050475263865322,2727379.937946026,4205.002151044533,5105.7537529988385,14.836021051198856,0.018201504923113437,NN-UKF,1.0243099465549017,2.4908075621069496
0,1.050475263865322,2727379.937946026,4205.002151044533,5105.7537529988385,14.836021051198856,0.018201504923113437,Learned MLP,0.921575949533062,12.270571118253942
4,0.9498347125904214,2913502.4575272375,11867.318909022524,2273.3916335551094,34.58680320881883,0.011740558904705035,Bekker-UKF,1.35711464033523,42.879031724799894
4,0.9498347125904214,2913502.4575272375,11867.318909022524,2273.3916335551094,34.58680320881883,0.011740558904705035,NN-UKF,0.9588653846986256,0.9507624840931987
4,0.9498347125904214,2913502.4575272375,11867.318909022524,2273.3916335551094,34.58680320881883,0.011740558904705035,Learned MLP,0.5085630790613467,46.457728663719166
1,0.9977972963771675,3471226.2848696695,6417.387766525882,655.974342497333,27.709009071357226,0.016075803293215507,Bekker-UKF,1.3684142118780047,37.14350768903507
1,0.9977972963771675,3471226.2848696695,6417.387766525882,655.974342497333,27.709009071357226,0.016075803293215507,NN-UKF,0.9626050762490655,3.5269909285061147
1,0.9977972963771675,3471226.2848696695,6417.387766525882,655.974342497333,27.709009071357226,0.016075803293215507,Learned MLP,0.6663367265580845,33.21922909819059
6,0.596755362102797,1964029.163248855,1323.7039504728493,16204.259105123983,21.185708843674053,0.01480687365754835,Bekker-UKF,0.8430536561989153,41.27290842066886
6,0.596755362102797,1964029.163248855,1323.7039504728493,16204.259105123983,21.185708843674053,0.01480687365754835,NN-UKF,0.6726327060237101,12.714983180635825
6,0.596755362102797,1964029.163248855,1323.7039504728493,16204.259105123983,21.185708843674053,0.01480687365754835,Learned MLP,0.5480902472785657,8.154952249234796
8,1.177331628704052,1397248.955549254,17672.966435794016,11719.506159669683,25.816431277795175,0.015540498188156875,Bekker-UKF,0.6257136594597953,46.85323623314616
8,1.177331628704052,1397248.955549254,17672.966435794016,11719.506159669683,25.816431277795175,0.015540498188156875,NN-UKF,1.364016776262787,15.856632320685097
8,1.177331628704052,1397248.955549254,17672.966435794016,11719.506159669683,25.816431277795175,0.015540498188156875,Learned MLP,1.2011395917869605,2.0221968477237855
7,0.7337181277923127,2257976.439647804,9257.877592720422,17338.174572715387,15.905913317845767,0.011391696040466514,Bekker-UKF,0.9372622478292764,27.741459877706486
7,0.7337181277923127,2257976.439647804,9257.877592720422,17338.174572715387,15.905913317845767,0.011391696040466514,NN-UKF,0.8426636156828462,14.848411639813232
7,0.7337181277923127,2257976.439647804,9257.877592720422,17338.174572715387,15.905913317845767,0.011391696040466514,Learned MLP,0.47495800431122304,35.266966111314986
9,1.103540247833783,3077681.2384836306,4721.826201133398,1397.689922989045,36.913200366303826,0.01725691831626365,Bekker-UKF,0.7255453575010361,34.252931968248525
9,1.103540247833783,3077681.2384836306,4721.826201133398,1397.689922989045,36.913200366303826,0.01725691831626365,NN-UKF,1.3381480877274878,21.259563514265395
9,1.103540247833783,3077681.2384836306,4721.826201133398,1397.689922989045,36.913200366303826,0.01725691831626365,Learned MLP,0.8706509296095338,21.103835467841254
10,0.7920125476939719,3649633.317272281,2327.9999519708185,18431.265157323473,29.179470152987964,0.016416399986731937,Bekker-UKF,0.9660152401321735,21.969688857181474
10,0.7920125476939719,3649633.317272281,2327.9999519708185,18431.265157323473,29.179470152987964,0.016416399986731937,NN-UKF,0.7598779599544665,4.057333161332941
