variant,n_runs,n_ok,rms_cte_m_mean,rms_cte_m_std,mean_abs_cte_m_mean,mean_abs_cte_m_std,speed_ratio_mean,speed_ratio_std,mean_speed_mps_mean,mean_speed_mps_std,mean_solve_ms_mean,mean_solve_ms_std,progress_m_mean,progress_m_std
pacejka,405,405,0.3809376977204133,0.4943748871442206,0.23370336450693008,0.2834408754690399,0.6657350513728615,0.16377420557790165,4.449546446161735,0.7496585130433799,4.269138986673166,1.135004010025559,60.087807088082464,9.9630549399273
tmeasy,405,405,0.3870774536903693,0.526296343356286,0.2426849887829552,0.31871147517920556,0.659048515272516,0.1643326816991952,4.3990020714147535,0.7299798300507526,4.604014239778311,1.5130612725437753,59.458932965024644,9.71934527506333
vehicle_rate,405,405,0.1623717817083074,0.13701897301050342,0.11079385856597743,0.09062925705070984,0.6649387903147796,0.16397104013393804,4.439012062136494,0.7174262953264265,13.38291058029323,0.8285905937646151,60.195673770912045,9.699035333306698
