variant,n_runs,n_ok,collisions_mean,collisions_std,near_misses_mean,near_misses_std,min_clearance_m_mean,min_clearance_m_std,intervention_rate_pct_mean,intervention_rate_pct_std,mean_abs_dsteer_mean,mean_abs_dsteer_std,mean_abs_dthrottle_mean,mean_abs_dthrottle_std,rt_factor_mean,rt_factor_std,rms_cte_m_mean,rms_cte_m_std
none_blind,405,405,3.0469135802469136,1.1920826292620779,4.103703703703704,1.176970061578707,-1.83117599009901,0.3276760414369223,,,,,,,1.0,0.0,0.23133013151799134,0.34068880514264455
none_aware,405,405,0.5728395061728395,0.9584192257549854,1.2765432098765432,1.3340802821577666,0.39949798009950255,1.16486615282731,,,,,,,1.0,0.0,2.4723545977959493,1.0133052208063453
dob_cbf_blind,405,405,0.6839506172839506,0.7700226289145403,1.6962962962962962,1.183262443839532,0.3762879548872181,1.9494705479964003,58.410526315789475,17.82956974410723,0.2920642942177337,0.15104618725870492,0.38877057826966305,0.29557214460945347,1.0,0.0,1.1902818816825358,1.156052218768144
dob_cbf_aware,405,405,0.11604938271604938,0.4088915195782788,0.36049382716049383,0.716440426165344,2.028036253132832,1.665556096704129,39.741854636591476,19.90555028704489,0.13741273587505493,0.06374999606294915,0.31368392503162273,0.2296472541764,1.0,0.0,1.7962163942519245,1.2351555045262392
