filter,delay_s,mpc_delay_comp,n_runs,n_ok,collisions_mean,min_clearance_m_mean,rms_cte_m_mean,speed_ratio_mean,intervention_rate_pct_mean
none,0.0,on,405,405,2.74320987654321,-1.4484084912718205,0.6396951513938703,0.46819147380004933,
dob_cbf,0.0,on,405,405,0.33827160493827163,0.40845198514851483,0.947980919320778,0.2671090857868223,51.59059405940594
