backend,clay,dirt,sand,ALL,rms_cte,N
MLP,0.07587459236636869,0.09354450177419558,0.0389152072283262,0.06944476712296349,,18
Bekker-UKF,0.04928856252944003,0.06948360339235898,0.4630520073714905,0.19394139109776315,,18
NN-UKF,0.05417934813388701,0.07425206404313937,0.4373824021951372,0.1886046047907212,,18
Fused-UKF,0.11020127280727782,0.1334859936193996,0.007107603948359261,0.08359829012501223,,18
