backend,N_ok,median_abs_dn,mean_abs_dn,median_pct_err,pct_within_20
MLP,100,0.059750444547440995,0.08695053869313867,7.814029987166621,76.0
Bekker-UKF,100,0.15403889416844702,0.1844682444050261,19.90408391868788,50.0
NN-UKF,100,0.1461833361742894,0.1850707580574361,19.093008062369535,55.00000000000001
Fused-UKF,100,0.032504538896586055,0.056020262175225606,3.8453083647898847,94.0
